,Country,League
777,Poland,Super Cup
778,Poland,Central Youth League
779,Poland,Ekstraliga Women
780,Poland,Polish Cup Women
781,Portugal,Liga Portugal
782,Portugal,Liga Portugal 2
783,Portugal,Liga 3
784,Portugal,Campeonato de Portugal - Group A
785,Portugal,Campeonato de Portugal - Group B
786,Portugal,Campeonato de Portugal - Group C
787,Portugal,Campeonato de Portugal - Group D
788,Portugal,Campeonato de Portugal - Play Offs
789,Portugal,Campeonato de Portugal - Promotion Group
790,Portugal,Taça de Portugal
791,Portugal,League Cup
792,Portugal,Super Cup
793,Portugal,Liga Revelacao U23
794,Portugal,Taca Revelacao U23
795,Portugal,Campeonato Nacional U19
796,Portugal,Liga BPI Women
797,Portugal,Taça de Portugal Women
798,Portugal,Taça da Liga Women
799,Portugal,Super Cup Women
800,Qatar,QSL
801,Qatar,Division 2
802,Qatar,QFA Cup
803,Qatar,QSL Cup
804,Qatar,Qatar Cup
805,Qatar,Emir Cup
806,Qatar,Sheikh Jassim Cup
807,Republic of the Congo,Ligue 1
808,Réunion,Regionale 1
809,Romania,Liga 1
810,Romania,Liga 2
811,Romania,Liga 3 - Seria 1
812,Romania,Liga 3 - Seria 2
813,Romania,Liga 3 - Seria 3
814,Romania,Liga 3 - Seria 4
815,Romania,Liga 3 - Seria 5
816,Romania,Liga 3 - Seria 6
817,Romania,Liga 3 - Seria 7
818,Romania,Liga 3 - Seria 8
819,Romania,Liga 3 - Seria 9
820,Romania,Liga 3 - Seria 10
821,Romania,Liga 3 - Promotion Play Offs
822,Romania,Liga 3 - Relegation Play Offs
823,Romania,Romanian Cup
824,Romania,Super Cup
825,Romania,Liga 1 Women
826,Romania,Romanian Cup Women
827,Russia,Premier League
828,Russia,FNL
829,Russia,FNL 2 - Division A Gold
830,Russia,FNL 2 - Division A Silver
831,Russia,FNL 2 - Division B - Group 1
832,Russia,FNL 2 - Division B - Group 2
833,Russia,FNL 2 - Division B - Group 3
834,Russia,FNL 2 - Division B - Group 4
835,Russia,Youth League
836,Russia,Russian Cup
837,Russia,FNL Cup
838,Russia,Super Cup
839,Russia,Supreme Division Women
840,Russia,Russia Cup Women
841,Russia,Super Cup Women
842,Rwanda,Premier League
843,Rwanda,Super Cup
844,San Marino,Campionato Sammarinese
845,San Marino,Coppa Titano
846,San Marino,Super Cup
847,São Tomé and Príncipe,Campeonato Nacional
848,Saudi Arabia,Saudi Professional League
849,Saudi Arabia,Division 1
850,Saudi Arabia,King Cup
851,Saudi Arabia,Super Cup
852,Saudi Arabia,Premier League Women
853,Scotland,Premiership
854,Scotland,Championship
855,Scotland,League One
856,Scotland,League Two
857,Scotland,Highland League
858,Scotland,Lowland League
859,Scotland,Scottish Cup
860,Scotland,League Cup
861,Scotland,Challenge Cup
862,Scotland,SWPL 1 Women
863,Scotland,Scottish Cup Women
864,Scotland,SWPL Cup Women
865,Senegal,Ligue 1
866,Serbia,Super Liga
867,Serbia,Prva Liga
868,Serbia,Srpska Liga - Belgrade
869,Serbia,Srpska Liga - Vojvodina
870,Serbia,Srpska Liga - East
871,Serbia,Srpska Liga - West
872,Serbia,Srpska Liga - Promotion Play Offs
873,Serbia,Serbian Cup
874,Seychelles,Premier League
875,Seychelles,Special Competition
876,Sierra Leone,Premier League
877,Singapore,Premier League
878,Singapore,Singapore Cup
879,Singapore,Singapore Community Shield
880,Slovakia,Nike liga
881,Slovakia,2. liga
882,Slovakia,3. Liga - East
883,Slovakia,3. Liga - West
884,Slovakia,4. liga - Bratislava
885,Slovakia,4. liga - Central
886,Slovakia,4. liga - East
887,Slovakia,4. liga - West
888,Slovakia,Slovak Cup
